# Generated from Shodan search results.
# Query: org:spacex
# Generated: 2026-06-06T06:05:19Z
country_code	ip_address
ES	217.65.138.216
FJ	168.140.242.35
FJ	168.140.242.116
FJ	168.140.242.144
FR	145.224.76.117
FR	145.224.78.97
FR	145.224.78.111
FR	145.224.78.124
FR	145.224.78.144
FR	145.224.79.22
FR	145.224.79.242
FR	145.224.116.25
FR	145.224.116.50
FR	169.155.248.171
FR	169.155.248.242
FR	169.155.248.252
FR	169.155.249.47
FR	169.155.249.194
FR	169.155.250.98
FR	169.155.250.108
FR	169.155.250.130
FR	169.155.250.245
FR	169.155.252.38
FR	169.155.252.122
FR	169.155.252.205
FR	169.155.253.41
FR	169.155.253.110
FR	188.92.248.103
FR	188.92.248.118
FR	188.92.248.147
FR	188.92.248.182
FR	188.92.248.215
FR	188.92.248.216
FR	209.198.130.231
FR	209.198.135.29
FR	209.198.135.119
FR	209.198.135.189
FR	209.198.136.110
FR	209.198.136.119
FR	209.198.142.31
FR	209.198.142.177
FR	212.105.150.93
FR	212.105.150.95
FR	212.105.150.221
FR	212.105.151.225
FR	216.128.22.35
FR	216.128.22.70
FR	216.128.23.108
FR	217.65.140.78
FR	217.65.140.155
FR	217.65.140.159
FR	217.65.141.237
FR	217.65.143.90
FR	217.65.143.214
FR	217.65.143.223
FR	217.65.143.230
FR	217.65.143.234
GB	145.224.64.65
GB	145.224.64.183
GB	145.224.68.47
GB	145.224.68.50
GB	145.224.70.67
GB	145.224.71.187
GB	145.224.88.113
GB	145.224.88.190
GB	145.224.89.225
GB	145.224.91.133
GB	145.224.91.154
GB	145.224.91.190
GB	145.224.112.28
GB	145.224.112.106
GB	145.224.112.149
GB	145.224.112.215
GB	169.155.244.79
GB	169.155.244.111
GB	169.155.244.130
GB	169.155.244.162
GB	169.155.245.135
GB	169.155.247.64
GB	169.155.247.171
GB	206.214.226.15
GB	209.198.128.23
GB	209.198.128.249
GB	212.105.128.238
GB	212.105.128.254
GB	212.105.146.51
GB	212.105.147.74
GB	212.105.147.139
GB	212.105.147.253
GB	216.128.2.40
GB	216.128.3.129
GB	216.128.28.15
GB	216.128.28.55
GB	216.128.28.78
GB	216.128.28.108
GB	216.128.28.211
GB	216.128.28.217
GB	216.128.28.226
GB	216.128.29.30
GB	216.128.29.249
GP	143.105.28.50
GP	143.105.28.129
GT	129.222.104.5
GT	129.222.104.76
GT	129.222.104.115
GT	129.222.104.152
GT	129.222.104.206
GT	129.222.104.225
GT	129.222.104.254
GT	135.129.127.6
GT	135.129.127.156
GT	135.129.127.176
GT	135.129.127.236
GT	135.129.127.252
GY	135.129.126.252
HN	216.234.222.14
HN	216.234.222.253
HR	212.105.159.230
HT	66.9.169.95
HT	66.9.169.122
HT	66.9.169.130
IE	169.155.238.70
IE	169.155.238.143
IE	169.155.238.221
IT	145.224.81.190
IT	169.155.232.89
IT	209.198.133.186
IT	209.198.133.227
IT	212.105.152.18
IT	212.105.154.38
IT	216.128.26.23
IT	216.128.26.51
IT	216.128.26.62
IT	216.128.26.78
JM	66.9.167.13
JM	66.9.167.140
JM	66.9.167.196
JP	65.181.4.62
JP	65.181.4.90
JP	65.181.5.188
JP	65.181.6.99
JP	168.140.251.162
JP	206.214.228.97
JP	206.214.228.131
KE	98.97.177.242
KE	143.105.26.97
KE	143.105.26.124
KE	143.105.26.152
KE	143.105.26.230
KE	143.105.27.133
KE	143.105.27.171
KE	206.214.231.46
KE	206.214.231.171
LK	14.1.79.227
LR	143.105.144.10
LR	143.105.144.70
LR	143.105.144.82
LR	143.105.144.210
LR	143.105.144.236
LV	209.198.143.16
LV	209.198.143.37
LV	209.198.143.191
LV	209.198.143.230
LV	209.198.143.242
MG	129.222.108.54
MQ	98.97.52.91
MW	216.234.216.72
MW	216.234.216.110
MW	216.234.216.117
MW	216.234.216.126
MW	216.234.216.165
MX	66.9.162.32
MX	66.9.162.40
MX	66.9.162.122
MX	66.9.162.130
MX	66.9.162.131
MX	66.9.162.158
MX	66.9.162.178
MX	66.9.162.181
MX	66.9.163.173
MX	66.9.163.217
MX	66.9.177.68
MX	66.9.178.11
MX	66.9.187.5
MX	66.9.187.9
MX	66.9.187.115
MX	66.9.187.116
MX	98.97.146.78
MX	98.97.146.98
MX	98.97.146.125
MX	98.97.146.126
MX	98.97.146.130
MX	98.97.146.164
MX	98.97.146.246
MX	98.97.178.211
MX	98.97.178.222
MX	129.222.65.130
MX	129.222.65.147
MX	129.222.90.137
MX	129.222.110.17
MX	129.222.110.67
MX	129.222.110.152
MX	129.222.110.216
MX	129.222.110.245
MX	129.222.111.24
MX	129.222.111.43
MX	129.222.111.108
MX	129.222.111.125
MX	129.222.111.156
MX	129.222.111.195
MX	129.222.160.119
MX	129.222.160.125
MX	129.222.160.166
MX	129.222.200.2
MX	129.222.200.3
MX	129.222.200.43
MX	129.222.200.136
MX	129.222.200.142
MX	129.222.200.192
MX	129.222.200.243
MX	129.222.200.248
MX	129.222.200.251
MX	143.105.16.4
MX	143.105.16.11
MX	143.105.16.38
MX	143.105.16.58
MX	143.105.16.89
MX	143.105.16.102
MX	143.105.16.128
MX	143.105.16.130
